candidate_id,entity_id,display_name,normalized_name,script_fit,raw_primary_label,official_latin_name,normalization_notes,category_primary,category_secondary,coordination_surface,region_primary,region_scope,household_facing,public_coordination_value,source_count_total,source_count_strong,source_bucket_count,sources_present,best_global_brand_rank,best_web_rank,best_regional_rank,persistence_windows,geography_count,evidence_notes,presence_score,rank_strength_score,geographic_breadth_score,cross_context_score,persistence_score,salience_score_raw,score_version,review_confidence,proposed_tier,selection_status,review_reason,review_flags,reviewer_notes
cand_0001,ent_apple,Apple,apple,direct_v1_fit,Apple,Apple,,consumer_brand,technology,retail|devices,global,global,yes,household_brand_device_ecosystem,3,3,1,BZ25|IB24|BF25,1,,,1,3,top_ranked_across_global_brand_lists,,,,,,,seed_pilot_v1,high,S+,selected,repeated_top_global_brand_placement,,
cand_0002,ent_google,Google,google,direct_v1_fit,Google,Google,,internet_platform,search,web|search,global,global,yes,dominant_public_web_entry_point,4,4,2,BZ25|IB24|BF25|SW26,2,1,,1,3,global_brand_and_global_web_dominance,,,,,,,seed_pilot_v1,high,S+,selected,clear_global_name_with_strong_multi_context_evidence,,
cand_0003,ent_microsoft,Microsoft,microsoft,direct_v1_fit,Microsoft,Microsoft,,technology_platform,software,software|web,global,global,yes,major_public_software_and_web_identity,4,4,2,BZ25|IB24|BF25|SW26,2,29,,1,3,global_brand_with_major_platform_presence,,,,,,,seed_pilot_v1,high,S+,selected,clear_global_name_with_repeated_top_placements,,
cand_0004,ent_amazon,Amazon,amazon,direct_v1_fit,Amazon,Amazon,,internet_platform,retail,retail|web,global,global,yes,major_global_retail_and_web_identity,4,4,2,BZ25|IB24|BF25|SW26,3,16,,1,3,global_brand_and_global_web_presence,,,,,,,seed_pilot_v1,high,S+,selected,clear_global_name_with_multi_context_salience,,
cand_0005,ent_facebook,Facebook,facebook,direct_v1_fit,Facebook,Facebook,,internet_platform,social,app|web,global,global,yes,major_consumer_identity_and_social_graph,3,3,2,BZ25|IB24|SW26,6,3,,1,3,strong_global_brand_and_live_usage_signal,,,,,,,seed_pilot_v1,high,S,selected,globally_obvious_consumer_platform,,
cand_0006,ent_instagram,Instagram,instagram,direct_v1_fit,Instagram,Instagram,,internet_platform,social,app|web,global,global,yes,major_consumer_social_identity,3,3,2,BZ25|IB24|SW26,7,4,,1,3,strong_global_platform_signal,,,,,,,seed_pilot_v1,high,S,selected,globally_obvious_consumer_platform,,
cand_0007,ent_youtube,YouTube,youtube,direct_v1_fit,YouTube,YouTube,,internet_platform,media,app|web|media,global,global,yes,major_global_media_destination,2,2,2,IB24|SW26,24,2,,1,3,live_global_usage_plus_brand_support,,,,,,,seed_pilot_v1,high,S,selected,globally_obvious_media_platform,,
cand_0008,ent_nvidia,NVIDIA,nvidia,direct_v1_fit,NVIDIA,NVIDIA,,technology_brand,hardware,hardware,global,global,no,high_salience_technology_identity,2,2,1,BZ25|BF25,5,,,1,3,top_tier_technology_brand_signal,,,,,,,seed_pilot_v1,medium,S,selected,clear_top_tier_technology_name,product_power_debate,
cand_0009,ent_cocacola,Coca-Cola,cocacola,direct_v1_fit,Coca-Cola,Coca-Cola,punctuation_removed,consumer_brand,beverages,retail,global,global,yes,household_consumer_brand_identity,1,1,1,IB24,7,,,1,3,legacy_household_brand_underweighted_by_digital_sources,,,,,,,seed_pilot_v1,medium,S,selected,legacy_household_brand_clears_global_obviousness_bar,source_bias|digital_heavy,
cand_0010,ent_mcdonalds,McDonald’s,mcdonalds,direct_v1_fit,McDonald’s,McDonald's,apostrophe_removed,consumer_brand,restaurant,retail,global,global,yes,globally_recognizable_consumer_destination,2,2,1,BZ25|IB24,8,,,1,3,cross_cultural_consumer_brand_signal,,,,,,,seed_pilot_v1,medium,S,selected,clear_global_consumer_brand_identity,,
cand_0011,ent_samsung,Samsung,samsung,direct_v1_fit,Samsung,Samsung,,consumer_brand,electronics,retail|devices,global,global,yes,major_consumer_device_identity,2,2,2,IB24|SW26,5,38,,1,3,global_brand_plus_direct_web_presence,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_consumer_brand,,
cand_0012,ent_walmart,Walmart,walmart,direct_v1_fit,Walmart,Walmart,,retail,consumer_retail,retail,global,global,yes,major_consumer_retail_destination,1,1,1,BF25,5,,,1,3,strong_real_world_retail_salience_with_thin_source_support,,,,,,,seed_pilot_v1,medium,A,selected,clear_international_consumer_coordination_name,source_thin,
cand_0013,ent_visa,Visa,visa,direct_v1_fit,Visa,Visa,,payments,consumer_payments,payments,global,global,yes,high_cost_if_misrouted_payment_identity,1,1,1,BZ25,10,,,1,3,payment_network_with_strong_global_salience,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_payment_coordination_name,source_thin,
cand_0014,ent_oracle,Oracle,oracle,direct_v1_fit,Oracle,Oracle,,enterprise_software,enterprise_platform,software,global,global,no,strong_enterprise_identity_with_limited_public_coordination,2,2,1,BZ25|IB24,9,,,1,3,repeated_global_brand_presence_but_enterprise_heavy,,,,,,,seed_pilot_v1,medium,A,near_miss,strong_but_more_enterprise_than_public,enterprise_only,
cand_0015,ent_tiktok,TikTok,tiktok,direct_v1_fit,TikTok,TikTok,,internet_platform,media,app|media,global,global,yes,major_live_consumer_attention_identity,1,1,1,SW26,,11,,1,3,very_strong_live_usage_with_thin_brand_list_support,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_live_consumer_platform,source_thin,
cand_0016,ent_chatgpt,ChatGPT,chatgpt,direct_v1_fit,ChatGPT,ChatGPT,,ai_service,internet_platform,web|app,global,global,yes,high_current_public_coordination_around_ai_service_name,1,1,1,SW26,,5,,1,3,very_strong_current_usage_but_limited_persistence,,,,,,,seed_pilot_v1,medium,A,near_miss,current_strength_is_high_but_persistence_is_not_yet_proven,persistence_risk|source_thin,
cand_0017,ent_whatsapp,WhatsApp,whatsapp,direct_v1_fit,WhatsApp,WhatsApp,,communications,messaging,app|communications,global,global,yes,major_global_communications_identity,1,1,1,SW26,,9,,1,3,very_strong_global_comms_usage_signal,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_communications_name,source_thin,
cand_0018,ent_netflix,Netflix,netflix,direct_v1_fit,Netflix,Netflix,,media,streaming,app|media,global,global,yes,major_global_media_subscription_identity,1,1,1,SW26,,21,,1,3,strong_global_media_usage_signal,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_media_service,source_thin,
cand_0019,ent_nike,Nike,nike,direct_v1_fit,Nike,Nike,,consumer_brand,apparel,retail,global,global,yes,globally_recognizable_consumer_brand,1,1,1,IB24,14,,,1,3,household_brand_that_remains_obvious_despite_digital_bias,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_consumer_brand,source_bias|digital_heavy,
cand_0020,ent_toyota,Toyota,toyota,direct_v1_fit,Toyota,Toyota,,automotive,consumer_brand,retail|automotive,global,global,yes,major_global_automotive_identity,1,1,1,IB24,6,,,1,3,globally_recognizable_auto_brand,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_consumer_brand,,
cand_0021,ent_disney,Disney,disney,direct_v1_fit,Disney,Disney,,media,entertainment,media|retail,global,global,yes,major_public_entertainment_identity,1,1,1,IB24,16,,,1,3,major_entertainment_brand_underweighted_by_web_only_sources,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_household_name,source_bias|digital_heavy,
cand_0022,ent_linkedin,LinkedIn,linkedin,direct_v1_fit,LinkedIn,LinkedIn,,internet_platform,professional_network,web|app,global,global,yes,strong_professional_identity_but_not_universal_public_destination,1,1,1,SW26,,17,,1,3,broad_usage_but_less_general_public_coordination,,,,,,,seed_pilot_v1,medium,B,near_miss,important_but_not_clearly_in_public_overlay,category_specific,
cand_0023,ent_baidu,Baidu,baidu,direct_v1_fit,Baidu,Baidu,,internet_platform,search,web|search,china,national,yes,regionally_critical_search_identity,1,1,1,SW26,,18,,1,1,strong_regional_usage_but_insufficient_non_global_support,,,,,,,seed_pilot_v1,medium,B,near_miss,likely_regionally_obvious_but_current_source_set_is_too_thin,regional_gap|source_thin,
cand_0024,ent_naver,Naver,naver,direct_v1_fit,Naver,Naver,,internet_platform,search,web|search,south_korea,national,yes,regionally_critical_search_identity,1,1,1,SW26,,20,,1,1,strong_regional_usage_but_insufficient_non_global_support,,,,,,,seed_pilot_v1,medium,B,near_miss,likely_regionally_obvious_but_current_source_set_is_too_thin,regional_gap|source_thin,
cand_0025,ent_adobe,Adobe,adobe,direct_v1_fit,Adobe,Adobe,,enterprise_software,creative_software,software,global,global,no,strong_product_brand_with_less_public_coordination_cost,1,1,1,IB24,17,,,1,3,strong_brand_but_more_category_specific_than_publicly_obvious,,,,,,,seed_pilot_v1,medium,B,near_miss,strong_name_but_public_coordination_bar_not_clear,category_specific,
cand_0026,ent_cisco,Cisco,cisco,direct_v1_fit,Cisco,Cisco,,enterprise_technology,networking,enterprise_infrastructure,global,global,no,important_enterprise_vendor_identity,1,1,1,IB24,13,,,1,3,enterprise_heavy_identity_with_limited_household_facing_value,,,,,,,seed_pilot_v1,low,B,considered_not_selected,too_enterprise_specific_for_current_overlay_bar,enterprise_only,
cand_0027,ent_tesla,Tesla,tesla,direct_v1_fit,Tesla,Tesla,,automotive,consumer_brand,retail|automotive,global,global,yes,strong_international_consumer_and_mobility_identity,1,1,1,IB24,12,,,1,3,strong_public_brand_with_global_household_salience,,,,,,,seed_pilot_v1,medium,A,selected,internationally_important_consumer_brand,category_specific,
cand_0028,ent_bmw,BMW,bmw,direct_v1_fit,BMW,BMW,,automotive,consumer_brand,retail|automotive,global,global,yes,recognizable_auto_brand_with_category_specific_salience,1,1,1,IB24,10,,,1,3,high_salience_but_more_category_specific_than_overlay_bar_requires,,,,,,,seed_pilot_v1,low,B,considered_not_selected,category_specific_brand_below_current_bar,category_specific,
cand_0029,ent_mercedesbenz,Mercedes-Benz,mercedesbenz,direct_v1_fit,Mercedes-Benz,Mercedes-Benz,hyphen_removed,automotive,consumer_brand,retail|automotive,global,global,yes,recognizable_auto_brand_with_category_specific_salience,1,1,1,IB24,8,,,1,3,high_salience_but_more_category_specific_than_overlay_bar_requires,,,,,,,seed_pilot_v1,low,B,considered_not_selected,category_specific_brand_below_current_bar,category_specific,
cand_0030,ent_jpmorgan,J.P. Morgan,jpmorgan,direct_v1_fit,J.P. Morgan,JPMorgan,punctuation_removed,financial_institution,banking,financial_services,us,multi_region,no,important_financial_institution_but_not_broad_public_identity,1,1,1,IB24,25,,,1,2,institutionally_important_but_less_household_facing,,,,,,,seed_pilot_v1,low,B,considered_not_selected,institutional_salience_is_not_enough_here,institution_only,
cand_0031,ent_ibm,IBM,ibm,direct_v1_fit,IBM,IBM,,enterprise_technology,enterprise_software,software,global,global,no,durable_technology_identity_but_less_live_public_coordination,1,1,1,IB24,19,,,1,3,durable_enterprise_brand_but_not_clear_overlay_case,,,,,,,seed_pilot_v1,low,B,considered_not_selected,durable_but_too_enterprise_weighted,enterprise_only,
cand_0032,ent_sap,SAP,sap,direct_v1_fit,SAP,SAP,,enterprise_software,business_software,software,global,global,no,important_business_software_identity,1,1,1,IB24,20,,,1,3,strong_enterprise_identity_with_limited_public_coordination_cost,,,,,,,seed_pilot_v1,low,B,considered_not_selected,too_enterprise_specific_for_current_overlay_bar,enterprise_only,
cand_0033,ent_github,GitHub,github,direct_v1_fit,GitHub,GitHub,,developer_platform,software_platform,web|developer,global,global,no,strong_software_coordination_name_but_not_general_public_identity,1,1,1,SW26,,48,,1,3,important_developer_platform_with_live_usage_signal,,,,,,,seed_pilot_v1,medium,B,near_miss,important_coordination_name_but_not_general_public_enough,developer_only
